Customer_care_calls,Customer_rating,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block,Mode_of_Shipment,Product_importance,Gender,Class
5,4,2,10,5395,a,ship,medium,m,1
4,3,2,6,5867,f,ship,medium,f,0
3,4,2,2,5957,d,ship,medium,m,0
3,1,2,27,2551,d,ship,medium,m,1
7,5,4,9,1329,b,ship,medium,m,1
6,2,2,18,3077,c,ship,low,f,1
4,5,5,7,1380,f,road,low,m,0
4,1,3,8,4667,d,flight,low,f,0
6,1,5,57,1784,c,ship,low,f,1
4,5,2,9,5040,c,flight,low,m,0
5,1,5,9,1893,c,ship,medium,f,0
3,3,6,26,1825,d,ship,low,f,1
6,1,4,7,1260,c,road,low,f,1
6,1,6,7,4014,a,road,medium,m,1
3,1,2,9,4316,c,flight,medium,f,0
3,3,2,5,4269,d,ship,high,m,1
3,1,2,10,4598,f,ship,medium,f,0
5,5,3,4,4218,f,ship,low,m,1
6,1,4,6,1561,a,ship,low,m,0
5,1,4,6,4852,f,ship,high,f,0
3,2,5,43,1027,c,road,medium,m,1
6,4,6,9,5354,d,ship,low,f,1
5,4,3,53,3172,a,ship,low,f,1
4,4,2,6,4117,f,ship,medium,f,1
3,5,3,10,5663,a,ship,low,f,1
4,5,5,7,1409,b,ship,medium,f,0
4,3,3,8,4240,b,flight,medium,m,1
5,1,5,10,5413,f,ship,low,f,1
4,1,2,23,1689,c,ship,low,f,1
3,4,4,10,4109,b,road,low,f,0
5,1,3,5,5146,f,road,low,m,1
3,1,3,60,2069,a,ship,high,f,1
4,5,3,6,4449,f,road,low,f,1
3,4,2,14,2163,f,ship,low,m,1
4,1,5,10,4018,c,ship,low,f,1
4,2,5,7,1711,b,ship,medium,m,1
3,5,3,1,4432,f,ship,medium,f,0
4,3,5,6,4384,d,ship,medium,m,0
4,4,5,9,4902,f,flight,low,f,1
3,2,3,9,4301,b,ship,medium,f,0
4,4,2,1,5320,f,ship,high,f,0
4,4,2,3,5692,b,road,medium,f,1
5,1,5,7,1620,c,road,low,m,1
5,4,2,8,5885,f,ship,medium,f,1
5,3,3,38,3669,f,ship,medium,m,1
3,5,3,8,5272,c,ship,medium,m,1
5,5,5,2,1657,f,flight,low,m,0
4,2,4,8,5660,b,road,low,m,0
5,3,5,10,1170,d,ship,medium,m,1
5,3,5,2,1630,d,flight,low,f,1
3,2,3,8,5149,d,flight,low,f,1
3,4,3,1,4020,d,ship,low,m,1
5,5,2,31,2000,a,flight,high,f,1
3,1,4,12,2779,d,ship,medium,m,1
5,4,5,3,3301,b,flight,low,m,1
5,1,2,4,4242,b,ship,low,f,1
3,1,3,5,5898,d,flight,high,m,1
4,5,2,46,3076,f,ship,medium,m,1
4,5,3,6,4671,d,ship,medium,m,1
4,2,2,4,5852,c,ship,low,m,0
6,3,4,10,1798,a,ship,low,m,0
4,3,6,6,1704,c,ship,medium,m,1
3,3,3,5,4888,b,ship,low,f,1
3,2,2,1,4133,a,ship,low,f,1
5,5,5,10,1719,f,ship,low,f,1
3,5,2,56,3711,f,ship,medium,f,1
5,4,3,23,1132,f,flight,medium,m,1
5,4,4,57,1613,d,ship,medium,m,1
4,1,4,7,5459,a,flight,low,f,1
5,5,2,2,4125,a,ship,medium,m,1
4,4,3,34,1283,c,ship,high,m,1
3,2,3,25,2334,f,road,low,f,1
3,4,3,3,4811,c,ship,medium,f,0
3,2,7,3,5584,f,ship,high,m,0
4,2,6,8,1391,b,road,low,m,1
5,1,3,1,5537,f,flight,medium,f,0
5,4,3,1,4181,d,ship,low,f,0
3,5,3,6,5148,f,ship,low,m,0
4,5,3,49,3914,c,ship,low,f,1
6,4,5,58,1463,a,ship,low,f,1
3,3,3,12,1900,d,flight,high,m,1
4,2,4,2,5503,f,ship,medium,f,0
3,1,2,25,1848,f,ship,low,f,1
7,1,4,2,1216,d,flight,low,m,1
3,1,8,6,5023,f,ship,high,m,1
4,3,2,3,4862,f,ship,medium,f,1
5,1,4,2,4615,f,road,medium,f,0
3,4,3,56,1550,c,ship,low,m,1
2,1,3,4,4512,b,ship,low,m,0
6,4,4,4,1244,c,ship,medium,m,1
4,2,4,62,2307,d,ship,low,m,1
4,4,2,21,1495,a,ship,medium,m,1
3,4,3,4,5368,c,road,low,f,0
5,4,4,5,1184,f,ship,low,f,1
5,4,5,1,1320,f,road,medium,f,0
3,3,3,4,5048,f,ship,low,m,0
3,1,2,44,2651,b,ship,low,f,1
3,3,2,58,3360,f,road,medium,f,1
3,2,2,37,2460,f,ship,medium,f,1
3,3,3,6,5109,f,road,low,m,0
5,2,2,1,2775,d,flight,low,f,1
4,1,3,47,3489,a,road,high,m,1
5,2,5,4,1634,c,flight,medium,m,0
6,3,3,56,3251,f,road,low,f,1
4,3,3,5,4712,b,ship,low,f,1
6,2,4,35,1625,b,ship,low,m,1
3,2,3,9,4282,c,ship,medium,m,0
4,2,3,12,3676,c,ship,medium,f,1
5,3,3,7,4462,d,road,low,m,1
4,3,3,52,1432,b,ship,medium,m,1
3,4,3,1,4444,d,flight,medium,m,1
5,2,2,10,4741,b,road,high,f,0
5,3,5,6,1192,f,ship,medium,f,0
4,2,3,27,1639,a,road,low,f,1
4,4,2,6,5116,f,ship,low,f,0
4,4,3,1,4194,c,ship,low,f,1
5,1,4,2,5496,f,ship,low,m,0
4,4,3,1,4774,f,ship,low,f,0
5,2,8,5,4751,d,ship,medium,m,0
3,2,3,48,2792,b,road,medium,m,1
7,2,5,5,1614,c,ship,medium,m,0
4,3,2,3,5914,d,ship,low,m,1
3,2,3,19,1111,b,ship,low,f,1
4,4,3,5,4892,a,road,medium,f,0
4,2,5,1,5012,c,road,low,f,0
4,1,4,5,5570,c,flight,medium,f,1
5,1,6,8,4944,d,flight,high,f,1
3,4,4,54,1885,a,ship,low,m,1
4,5,2,6,5920,f,ship,medium,m,0
2,3,3,2,5331,a,flight,medium,m,0
3,4,2,5,4342,c,road,medium,f,1
3,2,3,1,4997,f,ship,high,m,1
4,3,3,8,4391,d,ship,low,m,1
4,1,3,56,1811,f,ship,low,f,1
4,5,3,52,1741,b,ship,low,f,1
7,3,5,4,1163,f,ship,medium,f,1
5,3,3,4,4195,a,ship,medium,f,0
5,5,4,10,5913,c,ship,low,f,1
2,3,3,45,1639,c,road,low,f,1
4,3,3,45,1903,f,ship,low,m,1
7,5,4,4,1139,c,ship,medium,m,1
6,3,4,8,1805,f,flight,medium,f,0
5,1,3,44,3993,b,ship,medium,f,1
3,1,3,1,1252,b,flight,low,m,1
4,5,3,5,4913,b,road,low,m,0
4,5,3,3,1403,f,road,medium,m,1
4,3,2,2,5431,d,ship,low,m,0
4,3,4,1,4257,f,ship,medium,m,0
4,2,3,1,1182,d,ship,low,m,1
3,5,2,5,4504,c,ship,medium,f,1
4,3,5,5,1533,c,road,low,f,1
4,1,5,10,1144,a,road,medium,f,0
3,1,4,1,5761,f,ship,medium,f,1
3,4,3,49,3225,d,road,low,f,1
3,3,4,60,1722,f,road,low,f,1
3,2,3,5,4304,d,ship,high,m,1
3,1,8,1,4122,a,road,low,f,1
4,4,2,6,5942,b,ship,medium,f,0
6,1,4,7,1758,a,ship,low,m,0
4,4,5,2,1709,c,ship,low,f,0
4,2,3,6,4963,f,road,medium,m,0
4,2,6,2,1712,b,ship,medium,m,1
7,5,4,10,1166,f,ship,low,m,1
4,2,3,4,5085,d,ship,low,m,0
5,2,2,6,4120,f,flight,medium,f,1
3,3,4,6,4803,a,ship,low,m,1
3,1,2,61,1509,d,ship,medium,f,1
6,3,4,8,1925,c,ship,low,m,0
4,4,3,8,4715,b,ship,medium,m,1
6,4,4,3,4736,f,ship,low,m,1
3,1,4,33,2782,f,road,low,m,1
3,4,2,7,4699,f,flight,medium,f,1
2,3,3,6,4444,f,ship,low,m,1
6,2,4,7,1477,a,flight,low,f,0
4,3,3,10,5305,b,flight,medium,m,0
3,3,3,64,3103,c,ship,low,m,1
3,1,3,22,3266,f,ship,medium,m,1
4,2,2,8,4295,c,ship,low,f,0
6,1,4,1,1735,d,ship,low,f,1
5,5,4,9,4208,b,road,low,f,0
3,2,3,1,5343,c,flight,medium,m,1
4,4,3,7,5807,c,ship,low,f,1
2,1,3,24,1119,f,ship,medium,f,1
3,1,3,4,4965,a,ship,medium,f,0
4,4,3,5,5399,f,ship,low,f,0
3,1,2,10,4146,f,road,low,f,1
4,5,3,23,1785,a,ship,medium,m,1
3,2,2,1,4334,d,ship,low,m,0
5,4,2,2,4753,f,flight,low,m,0
4,4,2,7,4572,f,road,low,f,1
3,2,2,1,4978,b,flight,medium,f,0
5,3,4,7,2675,d,ship,medium,f,1
6,1,5,4,4887,d,road,low,m,0
3,1,3,8,5318,c,road,low,m,0
4,2,2,4,5233,f,ship,high,f,1
4,1,5,9,1530,f,road,low,m,0
3,1,4,8,5376,d,ship,low,f,1
5,4,2,55,2257,a,ship,low,m,1
4,4,3,12,3279,a,flight,low,m,1
4,4,2,4,5101,f,ship,medium,f,0
3,5,3,5,5206,c,road,high,f,0
4,1,2,7,5864,b,flight,medium,f,0
5,2,3,29,2411,d,road,medium,f,1
5,4,4,1,5533,a,ship,low,m,1
3,4,3,4,4628,b,road,low,m,0
3,5,4,7,4741,b,ship,medium,f,1
4,5,6,9,1858,b,ship,low,f,0
5,2,2,63,1254,f,ship,medium,f,1
7,3,4,7,1915,d,flight,medium,f,0
4,3,4,5,5307,c,ship,low,f,0
5,3,5,4,1257,f,ship,medium,m,1
5,4,2,10,5670,a,flight,medium,m,0
3,3,3,5,4664,d,road,medium,f,0
6,5,5,63,2573,f,ship,high,f,1
5,1,3,3,4939,a,road,low,m,1
5,3,5,9,4990,f,ship,medium,f,0
4,1,7,4,4476,d,ship,high,m,1
5,5,5,35,2508,b,ship,low,f,1
5,5,4,8,1132,f,ship,low,m,1
4,2,3,3,4653,c,ship,low,m,1
3,3,3,5,5981,a,road,low,f,1
3,2,3,7,4682,d,ship,low,m,0
3,2,2,53,1390,a,ship,medium,m,1
3,1,3,61,1313,b,ship,medium,m,1
4,1,2,3,5877,c,ship,low,f,0
5,3,2,1,4500,c,flight,low,f,1
4,3,2,9,4322,d,road,medium,f,1
3,2,2,2,4122,c,ship,medium,f,0
4,2,4,62,3198,a,ship,low,f,1
5,4,4,65,1951,f,road,low,f,1
4,1,2,5,5014,c,ship,medium,f,1
3,1,2,25,1851,b,ship,high,m,1
6,3,3,7,4829,d,road,low,f,1
3,4,2,8,4837,c,flight,medium,f,0
2,5,3,5,5320,f,ship,low,f,0
3,5,3,9,4191,b,road,medium,m,0
4,3,4,4,4102,c,ship,medium,m,1
5,4,2,8,4996,b,ship,high,m,1
3,3,4,12,2151,f,road,low,m,1
5,2,8,62,3450,b,ship,low,m,1
3,5,5,27,1581,c,road,low,m,1
6,5,4,6,1185,d,ship,medium,f,0
3,3,2,42,1950,b,ship,low,m,1
5,2,6,5,1951,f,road,low,f,0
4,1,3,5,3100,d,road,low,m,1
4,1,3,30,2669,d,ship,medium,f,1
3,3,3,56,1490,c,flight,low,m,1
3,3,5,10,5580,f,ship,medium,m,0
2,3,6,6,5341,b,flight,high,f,1
5,3,3,2,4731,f,road,low,f,1
7,1,4,6,1297,f,ship,medium,m,1
4,3,5,3,1224,a,ship,medium,m,0
6,2,6,3,5967,d,road,low,m,1
4,2,3,6,5616,f,ship,medium,f,1
4,5,5,7,1381,d,ship,medium,f,0
4,4,3,10,5674,b,ship,low,m,1
4,5,3,2,1693,a,flight,low,f,0
3,5,3,2,5556,a,road,low,f,1
3,2,2,24,1966,c,ship,low,f,1
3,3,4,10,5181,c,flight,medium,m,0
4,3,3,10,4020,d,ship,low,m,0
3,5,2,4,4015,f,ship,low,m,0
6,2,4,8,1015,a,ship,low,m,0
3,2,3,44,3802,f,ship,high,f,1
4,2,5,10,1744,f,ship,medium,m,0
4,1,3,31,1712,f,flight,medium,m,1
3,2,3,56,1303,d,ship,low,f,1
5,1,5,3,4966,f,ship,low,m,0
3,5,3,8,5877,c,ship,low,m,0
2,2,6,1,4165,a,ship,medium,f,1
4,4,6,10,4596,d,ship,medium,f,1
5,4,4,38,2771,b,ship,medium,f,1
3,2,4,6,5761,f,flight,medium,m,0
4,2,3,4,5916,f,ship,low,f,0
6,5,4,10,1669,d,ship,low,m,0
3,4,2,12,1493,b,flight,medium,m,1
4,4,5,9,1716,f,ship,medium,f,1
7,4,4,10,1217,d,ship,low,f,1
4,1,3,25,1152,d,ship,low,f,1
7,1,4,9,1885,f,ship,low,f,0
5,2,2,9,5530,b,road,medium,f,0
4,5,2,6,4994,d,ship,low,m,0
6,1,4,7,1372,f,road,low,f,1
3,5,3,45,2513,a,ship,low,f,1
5,1,2,10,4108,c,ship,medium,f,1
3,5,2,5,4933,f,flight,low,m,1
5,1,3,32,3003,c,ship,medium,f,1
3,1,5,1,5459,b,ship,low,m,0
4,5,3,3,5824,a,ship,low,f,1
6,1,2,57,3966,f,ship,low,m,1
3,3,2,1,5884,c,flight,low,m,1
5,3,2,3,5113,d,ship,medium,m,0
3,4,3,7,5013,c,ship,low,m,1
4,5,3,10,5275,c,ship,medium,f,0
7,5,3,46,1550,a,ship,low,m,1
5,1,3,43,2994,a,ship,low,f,1
4,5,2,2,4978,c,ship,low,m,0
4,5,3,9,1314,f,ship,medium,f,1
3,1,2,9,1158,a,ship,low,m,1
4,3,3,4,5866,a,ship,low,m,0
7,2,4,7,1176,f,ship,low,f,0
6,3,4,5,1261,f,ship,high,f,1
4,3,5,10,1646,d,flight,medium,m,1
5,2,6,2,1851,a,ship,low,m,0
5,3,5,7,4157,b,ship,low,m,0
3,3,3,5,4388,c,ship,low,f,0
4,3,3,1,5129,f,ship,medium,f,1
5,4,3,1,5775,a,ship,low,f,1
3,3,10,7,4273,b,ship,low,f,1
3,2,3,39,1512,b,road,medium,f,1
5,2,7,7,5204,d,ship,low,m,0
4,3,6,10,1174,f,flight,medium,m,0
6,1,4,1,1434,a,ship,low,m,0
5,1,2,7,4792,d,road,low,f,0
5,5,8,9,5186,d,road,low,m,0
3,3,3,33,3463,a,ship,low,f,1
3,1,3,9,5539,f,ship,low,f,0
4,2,3,2,4750,f,ship,low,m,1
3,3,3,4,1399,f,ship,low,f,0
3,2,2,7,5522,c,ship,low,m,0
7,2,5,61,1856,f,road,medium,f,1
3,5,2,1,5970,d,ship,medium,m,0
5,1,3,8,5727,c,flight,medium,m,1
4,1,2,2,5685,a,ship,low,f,0
3,3,4,6,4015,b,ship,low,f,0
5,5,3,9,3873,c,ship,medium,f,1
6,5,4,1,1957,f,ship,medium,f,1
4,2,3,5,4702,c,ship,medium,f,1
5,5,5,7,1137,b,ship,low,f,0
3,3,2,1,5098,a,ship,medium,m,1
4,3,3,4,4666,b,flight,medium,f,0
2,2,3,28,1968,f,ship,low,m,1
5,5,5,6,1300,c,flight,low,f,0
3,1,3,8,5509,f,flight,medium,f,0
4,3,2,2,5879,f,ship,medium,m,0
4,4,5,5,1184,a,ship,medium,f,0
3,3,4,7,5147,d,ship,medium,f,0
3,3,2,10,5632,d,road,low,f,0
6,3,4,3,1772,f,ship,medium,m,1
5,2,3,2,4054,b,ship,low,m,1
5,3,5,7,1303,d,flight,medium,f,1
3,3,3,2,4363,d,road,low,m,0
5,2,2,6,2059,c,ship,high,f,1
5,1,4,2,5978,c,ship,high,f,1
4,3,4,13,1583,d,ship,medium,m,1
6,2,4,2,1196,f,ship,low,m,0
4,3,5,8,1753,d,road,medium,m,1
4,1,6,9,1753,b,ship,low,f,1
3,2,4,13,1790,d,ship,low,m,1
5,5,2,19,1936,d,flight,medium,m,1
4,5,2,5,4127,a,ship,medium,m,0
6,4,4,8,1867,a,ship,medium,m,0
3,1,3,9,5797,b,ship,medium,f,0
5,3,3,2,4688,a,road,medium,f,0
3,1,3,5,1556,b,ship,medium,m,1
3,5,3,9,4468,b,ship,low,m,0
